position_id,stock,symbol,bucket,state,buy_price,buy_date,quantity,buy_value,current_price,current_pnl_pct,peak_price,trail_stop_price,hard_stop_price,target_price,partial_sold,composite_score,exit_reason,exit_price,exit_date,days_held,cooldown_until,rejection_reason,notes,last_updated
ABB_CD_Long-Term_20260610_041223,ABB,,Long-Term,WATCHLIST,,,,,,,,,,,,,,,,,2026-06-13,,Cooldown after stop loss. Re-entry allowed after 2026-06-13. | Cooldown expired.,2026-06-14 01:13:09
HAL_BACKFILL_Swing_20260604_141530,HAL,HAL.NS,Swing,HOLDING,4264.1,2026-06-03,4,17056.4,4195.0,-1.621,4292.6,4120.9,4008.25,4903.72,False,0,,,,9,,,Backfilled from bucket_trades history,2026-06-12 09:13:16
CIPLA_BACKFILL_Long-Term_20260604_141528,CIPLA,CIPLA.NS,Long-Term,HOLDING,1399.2,2026-05-24,7,9794.4,1386.4,-0.915,1402.6,1346.5,1315.25,1609.08,False,0,,,,19,,,Backfilled from bucket_trades history,2026-06-12 09:13:17
Tribhovandas Bhimji Zaveri_BACKFILL_Swing_20260604_141528,Tribhovandas Bhimji Zaveri,TBZ.NS,Swing,EXITED,165.49,2026-05-30,108,17872.92,168.59,1.873,177.49,170.39,155.56,190.31,False,0,TARGET,168.59,2026-06-05,6,,,Backfilled from bucket_trades history,2026-06-05 06:34:55
SIEMENS_BACKFILL_Swing_20260604_141529,SIEMENS,SIEMENS.NS,Swing,EXITED,3844.0,2026-05-30,4,15376.0,3612.9,-6.012,3844.0,3690.24,3613.36,4420.6,False,0,STOP_LOSS,3612.9,2026-06-08,9,,,Backfilled from bucket_trades history,2026-06-08 09:43:38
HINDALCO_BACKFILL_Long-Term_20260604_141527,HINDALCO,HINDALCO.NS,Long-Term,EXITED,1109.2,2026-05-23,9,9982.8,1042.5,-6.013,1138.9,1093.34,1042.65,1275.58,False,0,STOP_LOSS,1042.5,2026-06-10,18,,,Backfilled from bucket_trades history,2026-06-10 04:11:26
ITC_BACKFILL_Swing_20260604_141529,ITC,ITC.NS,Swing,HOLDING,277.0,2026-06-03,64,17728.0,284.4,2.671,284.4,273.02,260.38,318.55,False,0,,,,9,,,Backfilled from bucket_trades history,2026-06-12 09:13:16
HINDUNILVR_Long-Term_20260604_134328,HINDUNILVR,HINDUNILVR.NS,Long-Term,EXITED,2079.4,2026-06-04,20,41588.0,2079.4,0.0,2079.4,1996.22,1954.64,2391.31,False,0,TARGET,2079.4,2026-06-04,0,,,,2026-06-04 13:45:12
SIEMENS_CD_Swing_20260608_094338,SIEMENS,,Swing,WATCHLIST,,,,,,,,,,,,,,,,,2026-06-11,,Cooldown after stop loss. Re-entry allowed after 2026-06-11. | Cooldown expired.,2026-06-12 00:04:17
ABB_BACKFILL_Long-Term_20260604_141528,ABB,ABB.NS,Long-Term,EXITED,7219.0,2026-05-29,4,28876.0,6785.0,-6.012,7219.0,6930.24,6785.86,8301.85,False,0,STOP_LOSS,6785.0,2026-06-10,12,,,Backfilled from bucket_trades history,2026-06-10 04:12:23
ADANIENT_Swing_20260607_134825,ADANIENT,ADANIENT.NS,Swing,HOLDING,3048.2,2026-06-07,5,15241.0,2925.7,-4.019,3048.2,2926.27,2865.31,3505.43,False,0,,,,5,,,,2026-06-12 09:13:18
ASIANPAINT_BACKFILL_Long-Term_20260604_141527,ASIANPAINT,ASIANPAINT.NS,Long-Term,HOLDING,2639.8,2026-05-23,3,7919.4,2740.3,3.807,2740.3,2630.69,2481.41,3035.77,False,0,,,,20,,,Backfilled from bucket_trades history,2026-06-12 09:13:18
HINDALCO_CD_Long-Term_20260610_041126,HINDALCO,,Long-Term,WATCHLIST,,,,,,,,,,,,,,,,,2026-06-13,,Cooldown after stop loss. Re-entry allowed after 2026-06-13. | Cooldown expired.,2026-06-14 01:13:09
